Date;Open;High;Low;Close;Adj Close;Volume
29/03/2016;50839;51765;50387;51155;51155;4320900
30/03/2016;51155;52262;50900;51249;51249;4730600
31/03/2016;51248;51248;49642;50055;50055;4251900
01/04/2016;50054;50768;49361;50562;50562;3890600
04/04/2016;50556;50556;48600;48780;48780;3556500
05/04/2016;48778;49629;48149;49054;49054;3546100
06/04/2016;49054;49054;47874;48096;48096;3810000
07/04/2016;48099;48940;48099;48513;48513;3059900
08/04/2016;48517;50486;48517;50293;50293;5047700
11/04/2016;50303;51089;50078;50165;50165;4050700
12/04/2016;50166;52327;50166;52002;52002;5146900
13/04/2016;52010;53844;52010;53150;53150;6376500
14/04/2016;53150;53699;52242;52411;52411;5492100
15/04/2016;52414;53390;52414;53228;53228;5047800
18/04/2016;53229;53479;52305;52894;52894;4385600
19/04/2016;52894;54054;52894;53710;53710;5033900
20/04/2016;53711;53857;53149;53631;53631;4554100
22/04/2016;53630;53630;52629;52908;52908;4259400
25/04/2016;52911;52949;51748;51862;51862;3693200
26/04/2016;51867;53108;51838;53083;53083;3749400
27/04/2016;53094;54560;53094;54478;54478;4897900
28/04/2016;54475;54978;53963;54312;54312;4413500
29/04/2016;54317;54705;53592;53911;53911;4898400
02/05/2016;53910;54113;53265;53562;53562;3286100
03/05/2016;53557;53557;52260;52260;52260;3892400
04/05/2016;52253;52672;51931;52553;52553;4263800
05/05/2016;52569;53071;51311;51671;51671;3653100
06/05/2016;51671;52159;51204;51718;51718;3296100
09/05/2016;51717;51717;49908;50990;50990;4938400
10/05/2016;50994;53071;50994;53071;53071;4079200
11/05/2016;53072;53976;52736;52764;52764;4350000
12/05/2016;52765;53703;52424;53241;53241;4630400
13/05/2016;53236;53250;51366;51804;51804;4314300
16/05/2016;51803;52305;51585;51803;51803;3529500
17/05/2016;51795;51946;50689;50839;50839;3871100
18/05/2016;50836;51373;50301;50562;50562;4072500
19/05/2016;50556;50556;49588;50133;50133;3905500
20/05/2016;50133;50822;49723;49723;49723;3254500
23/05/2016;49709;49709;48695;49330;49330;3412800
24/05/2016;49330;50002;49153;49345;49345;3138900
25/05/2016;49347;50357;49347;49483;49483;3472600
27/05/2016;49481;49805;48869;49051;49051;2711800
30/05/2016;49051;49203;48799;48964;48964;1169200
31/05/2016;48963;49269;48292;48472;48472;5802800
01/06/2016;48468;49057;48200;49013;49013;3290000
02/06/2016;49008;49906;48781;49887;49887;3525800
03/06/2016;49888;50634;49888;50619;50619;3329400
06/06/2016;50627;50924;50097;50432;50432;3111900
07/06/2016;50432;50641;50005;50488;50488;2958800
08/06/2016;50490;51812;50490;51629;51629;4206400
09/06/2016;51633;51633;50832;51118;51118;3213200
10/06/2016;51117;51117;49421;49422;49422;2977400
13/06/2016;49419;49764;48804;49661;49661;2630500
14/06/2016;49662;49894;48216;48648;48648;3885000
15/06/2016;48649;49415;48324;48915;48915;5009800
16/06/2016;48901;49412;48067;49412;49412;3887200
17/06/2016;49409;50191;49405;49534;49534;4248900
20/06/2016;49539;50782;49539;50329;50329;3487000
21/06/2016;50326;50870;49678;50838;50838;3349200
22/06/2016;50835;51239;50060;50156;50156;3632900
23/06/2016;50161;51673;50161;51560;51560;3166800
24/06/2016;51561;51561;49544;50105;50105;4139100
27/06/2016;50106;50162;48954;49246;49246;3228500
28/06/2016;49252;50301;49252;50007;50007;3406400
29/06/2016;50009;51229;50009;51002;51002;3970100
30/06/2016;51001;51619;50585;51527;51527;4377800
01/07/2016;51540;52346;51411;52233;52233;4116100
04/07/2016;52241;52918;52241;52569;52569;2081800
05/07/2016;52565;52565;51510;51842;51842;3121400
06/07/2016;51842;51909;50825;51902;51902;3277000
07/07/2016;51902;52719;51888;52015;52015;3712200
08/07/2016;52020;53166;52020;53141;53141;2995500
11/07/2016;53143;54021;53143;53960;53960;3206300
12/07/2016;53961;54746;53961;54256;54256;3878700
13/07/2016;54256;54647;53733;54598;54598;4037100
14/07/2016;54601;55634;54601;55481;55481;4408500
15/07/2016;55482;55649;55233;55578;55578;3684500
18/07/2016;55573;56509;55355;56484;56484;3984500
19/07/2016;56487;56698;56246;56698;56698;3794000
20/07/2016;56699;56927;56221;56578;56578;3865800
21/07/2016;56578;56906;56233;56641;56641;3486900
22/07/2016;56641;57171;56518;57002;57002;2912000
25/07/2016;57006;57205;56398;56873;56873;3126900
26/07/2016;56876;57309;56708;56783;56783;3351800
27/07/2016;56788;57380;56788;56853;56853;3795700
28/07/2016;56853;56853;55993;56667;56667;3912600
29/07/2016;56664;57474;56340;57308;57308;4416500
01/08/2016;57309;57729;56676;56756;56756;4088000
02/08/2016;56756;56974;55696;56162;56162;3857700
03/08/2016;56157;57101;55788;57077;57077;4058600
04/08/2016;57076;58030;57076;57594;57594;4192000
05/08/2016;57609;57951;57290;57661;57661;3354600
08/08/2016;57655;57917;57504;57635;57635;3153800
09/08/2016;57637;58095;57615;57689;57689;3049900
10/08/2016;57690;57953;56735;56920;56920;3510600
11/08/2016;56925;58308;56923;58300;58300;3905700
12/08/2016;58300;58753;57987;58298;58298;3811800
15/08/2016;58316;59324;58316;59146;59146;3487200
16/08/2016;59144;59187;58589;58855;58855;3874400
17/08/2016;58847;59324;58081;59324;59324;4179800
18/08/2016;59324;59418;58829;59166;59166;3608700
19/08/2016;59158;59240;58599;59099;59099;2661700
22/08/2016;59080;59099;57631;57781;57781;3133500
23/08/2016;57781;58596;57781;58020;58020;3635900
24/08/2016;58019;58332;57456;57718;57718;3221400
25/08/2016;57718;58124;57639;57722;57722;2974200
26/08/2016;57725;58655;57259;57716;57716;3611600
29/08/2016;57717;58957;57642;58610;58610;2759700
30/08/2016;58610;58882;58293;58575;58575;2729400
31/08/2016;58580;58910;57506;57901;57901;4077700
01/09/2016;57901;58417;57638;58236;58236;3687600
02/09/2016;58241;59655;58241;59616;59616;3771500
05/09/2016;59616;59986;59402;59566;59566;1824900
06/09/2016;59566;60129;59182;60129;60129;3150500
08/09/2016;60129;60310;59743;60232;60232;3843900
09/09/2016;60220;60220;57961;58000;58000;3992900
12/09/2016;57998;58595;57511;58586;58586;3529200
13/09/2016;58580;58580;56459;56821;56821;4377800
14/09/2016;56812;57342;56694;57059;57059;3329100
15/09/2016;57068;58127;57068;57909;57909;2812000
16/09/2016;57909;57909;56794;57080;57080;3710700
19/09/2016;57083;58025;57083;57350;57350;2691100
20/09/2016;57356;57902;57356;57736;57736;3001000
21/09/2016;57736;58575;57326;58394;58394;3889700
22/09/2016;58408;59462;58408;58994;58994;3365300
23/09/2016;58992;59131;58409;58697;58697;2809900
26/09/2016;58697;58697;57904;58054;58054;2108800
27/09/2016;58066;58490;57411;58382;58382;2953400
28/09/2016;58383;59415;58353;59356;59356;3233400
29/09/2016;59346;59621;58292;58351;58351;3200300
